,Instance,Total Cost,Bsv Cost,Total Time,DP Time,IP Time,NDPI Time,Local Search Time,ALNS Operator Time,Type
39,R105-5,3935.241547970842,0.0,91.9955682,87.16771669999993,1.4357768000000017,0.0078385,0.11676990000000011,0.10084340000000007,R1
40,R106-25,16498.04449293472,0.0,1702.6344232799997,465.47697399999987,380.80742643999986,8.62099028,0.66965276,0.4344331600000001,R1
41,R107-25,17672.200251940787,0.0,1519.8227939999997,393.7894359000001,397.96698004000024,7.2341457999999985,1.76789928,0.4699209199999996,R1
42,R108-25,19153.417255340875,0.0,5213.48280992,1649.2453102999993,567.7422539600004,6.632341799999999,2.5925264399999977,0.9742879999999993,R1
43,R109-25,14493.642987228337,0.0,1343.5041838399998,348.8993537999998,348.43363884000024,7.030044,0.40822404000000007,0.45137763999999986,R1
44,R110-25,15350.256931861528,0.0,759.309690174,254.04351528999996,38.84998845560004,1.3273319947999997,0.7796360039999998,0.28348902959999994,R1
45,R111-25,15400.696751041298,0.0,1039.775783424,35.157311135,33.65701446799999,13.907680724,0.8471207919999999,0.26261807600000003,R1
46,R112-25,16491.861538397767,0.0,1525.4200439519998,53.62675836099999,8.554355908,9.122387036,0.531906564,0.3857982799999999,R1
47,R201-10,5119.428802555024,0.0,3659.0105224999998,3651.7517633,1.7534171999999975,0.036151199999999994,0.10514889999999996,0.29067099999999957,R2
48,R201-25,4621.8629705025105,0.0,7264.172275079999,2530.248131099997,17.024142800000007,148.57290392,1.5269433199999998,0.5333168399999999,R2
49,R202-15,19951.80952868191,0.0,4296.9221965,4262.416192300002,21.51768749999998,0.09184969999999999,2.159351300000001,0.45322960000000007,R2
50,R202-25,4899.3752457496075,0.0,8466.324723110798,2942.6442767400017,8.763973243200002,198.07026070999999,2.3193170840000006,0.48116658520000016,R2
51,R202-5,3433.27205598441,0.0,2294.9376565000002,2291.4815871999986,0.3748212000000006,0.007977699999999999,0.11910929999999997,0.11534180000000013,R2
52,R203-10,12597.567343579327,0.0,2210.8786056999998,2204.0577752999993,0.7419423000000002,0.0296417,1.1858061,0.29064959999999984,R2
53,R203-25,4997.70977314457,0.0,5717.6920217199995,1974.3267439999981,44.86804840000001,136.87575832,0.80014788,0.5786048799999995,R2
54,R203-5,8121.450998939497,0.0,305.3606148,300.40102789999946,0.9476111000000024,0.0074383,0.40764579999999934,0.09804020000000001,R2
55,R204-25,3493.7580504596954,0.0,8429.2614882,2918.500952499998,1.3580529200000004,243.37007408,5.076117200000001,0.6842634400000003,R2
56,R205-25,4639.685964902997,0.0,3782.8670430767997,1334.271425026997,5.220124596400002,34.3029674624,1.0493510999999998,0.3049186364000001,R2
57,R206-25,4526.696382993311,0.0,5189.239569639999,1789.8396602000018,25.10869116,144.83894207999998,0.6445487999999998,0.49439628000000024,R2
58,R207-25,3886.9959179865364,0.0,6544.908024844,214.520701551,0.7228617480000001,532.3912895279999,1.3373196479999998,0.2803925880000001,R2
59,R208-25,3463.7896072072,0.0,5579.09589636,1912.260105899998,9.317870519999992,205.31690647999997,3.019578799999998,0.6932447199999997,R2
60,R209-15,18365.310557132056,0.0,3377.856058,3364.103069400002,1.8292278000000013,0.0769269,3.639565000000004,0.44229620000000064,R2
61,R209-25,4457.245054668995,0.0,6278.419403759999,2169.983490899999,15.439633999999987,179.06348263999996,0.81360524,0.5675910799999995,R2
62,R210-25,3744.2813557080262,0.0,4819.6806434,161.315848844,0.5515422639999998,297.979220028,0.6546013879999999,0.332387944,R2
63,R211-25,4112.0469145727375,0.0,4465.045792592,139.87516435300003,0.5229381080000001,543.4085037639999,0.983848544,0.532240912,R2
64,RC101-25,23904.213376451342,0.0,1632.3802508384,454.6103666639997,317.12319358439987,2.3198296856,1.2844598591999994,0.5320726207999998,RC1
65,RC102-10,9859.59035906829,0.0,109.81019919999999,95.34548639999998,10.54186440000001,0.019761799999999996,0.13973370000000002,0.16848150000000006,RC1
66,RC102-25,23049.690064256883,0.0,1869.2751412047999,582.0503703000003,203.9561661619995,2.0904554103999993,1.1293444428000003,0.4336563839999996,RC1
67,RC103-15,14125.548147139943,0.0,419.6976422,358.5488965999998,47.93678999999993,0.0718996,0.8175212999999995,0.40857710000000025,RC1
68,RC103-25,16818.39864171951,0.0,945.8138606,275.4992260000003,158.99816688000004,5.6506567599999995,0.5094317199999999,0.4743331599999996,RC1
69,RC104-25,21071.698758438324,0.0,1595.3554520399998,220.642599,957.1025567600005,8.682806999999999,0.5970131999999997,0.4375649599999998,RC1
70,RC105-25,23858.2887350164,1005.7832768544126,4280.433476759999,246.7765440999999,3534.8306912799994,6.413644439999999,1.3578591599999996,0.9509774400000016,RC1
71,RC105-5,4340.1127898754,0.0,89.63604959999999,84.15342439999989,1.5164989999999987,0.0084864,0.2692972000000003,0.09334480000000009,RC1
72,RC106-25,18711.55921175969,0.0,366.64279233679997,102.48430208700003,69.37736583959995,1.3205300555999997,0.45864738639999997,0.3164213612000002,RC1
73,RC107-25,27770.314387339044,0.0,326.206138356,9.492553532999997,39.879137424,10.398149299999998,1.2822903520000002,0.33708810799999994,RC1
74,RC108-10,13560.264681766403,0.0,175.0056016,163.44356250000018,6.177880199999985,0.024656499999999998,0.2161331,0.23893370000000005,RC1
75,RC108-15,15189.457044613131,0.0,407.19045509999995,312.44821069999955,84.89061060000007,0.06166549999999999,0.33382600000000007,0.36611040000000056,RC1
76,RC108-25,19875.58741750739,0.0,344.6080535856,106.17493000799999,38.61210650920003,0.7747203211999999,0.419076,0.3089919084,RC1
77,RC108-5,12091.016764346134,0.0,251.82085709999998,245.9884538999999,1.8576875999999962,0.0093364,0.34172009999999975,0.10673019999999983,RC1
78,RC201-10,6866.767746202462,0.0,2572.0110299999997,2566.032263400002,0.939776199999999,0.024574199999999997,0.10871399999999999,0.2552451,RC2
79,RC201-25,6691.936723155748,0.0,2487.81437744,812.7546555000006,53.093171600000026,150.07755223999996,0.41268332000000013,0.51484244,RC2
80,RC202-15,14294.80880819948,0.0,4785.561722799999,4777.243710900005,2.184070399999995,0.0468897,0.4493465999999998,0.4079732999999999,RC2
81,RC202-25,5887.522672911264,0.0,3361.1255778799996,1111.8179773000002,11.548685399999997,225.60190071999997,1.5832546799999998,0.5663033600000004,RC2
82,RC203-25,5586.629016633813,0.0,455.942481776923,42.535493362000004,0.6262282384615383,454.66215103076917,0.2755065384615384,0.3785959692307693,RC2
83,RC204-15,16499.234095383523,0.0,5971.7194381,5954.976076500008,2.131842799999998,0.09678179999999999,3.3364967999999995,0.5658478999999994,RC2
84,RC204-25,5018.3004937014875,0.0,4031.108211999997,1457.015419099972,0.5373974000000099,572.9256207,0.5655231000000002,0.5577178000000005,RC2
85,RC204-5,3851.979520144454,0.0,585.8821274999999,582.2982761999996,0.39601919999999996,0.0081676,0.13249499999999995,0.12538700000000014,RC2
86,RC205-10,12727.61231816942,0.0,2210.5227997999996,2204.8559931999985,1.0586594999999996,0.0258709,0.14550270000000007,0.2538774999999998,RC2
87,RC205-25,6545.173771663308,0.0,5539.2772958908,1951.9662273330007,15.73242089159999,43.9819422616,0.5586207676,0.4591834268000001,RC2
88,RC206-25,6309.789245947399,0.0,1563.5468522099998,544.2933278899998,4.864238150799996,30.052700621999996,0.4939564812,0.2888925564,RC2
89,RC207-25,5337.770531052347,0.0,6068.36690152,2111.493742899999,24.129008679999973,115.058342,2.4220999599999993,0.9311192800000002,RC2
90,RC208-25,5117.931633393618,0.0,3333.6312917599994,1165.3562037999995,9.230672359999998,54.86963916,0.34515628000000004,0.5853912400000004,RC2
91,RC208-5,6244.491607825425,0.0,2536.5075348,2531.8807459999985,0.3568722000000004,0.0079366,0.7283432000000009,0.13559809999999992,RC2
